arm,cell_type,gist,verbatim,vgroup,unethical
informed,palter,2.2,5.3,verbatim perceived HIGH (>=5),3.7
informed,palter,2.0,3.0,verbatim perceived LOW (<=3),5.0
informed,palter,2.0,4.0,mid,4.0
informed,truthy_falsehood,6.0,2.1,verbatim perceived LOW (<=3),1.7
informed,truthy_falsehood,3.3,2.1,verbatim perceived LOW (<=3),3.3
informed,truthy_falsehood,6.0,2.9,verbatim perceived LOW (<=3),1.0
informed,blatant_falsehood,1.0,1.0,verbatim perceived LOW (<=3),6.0
informed,blatant_falsehood,1.0,1.0,verbatim perceived LOW (<=3),6.0
informed,blatant_falsehood,1.0,1.0,verbatim perceived LOW (<=3),7.0
informed,fully_true,7.0,7.0,verbatim perceived HIGH (>=5),1.0
informed,fully_true,7.0,6.6,verbatim perceived HIGH (>=5),1.0
informed,fully_true,7.0,7.0,verbatim perceived HIGH (>=5),1.0
informed,palter,2.0,6.4,verbatim perceived HIGH (>=5),3.9
informed,palter,2.0,6.0,verbatim perceived HIGH (>=5),5.0
informed,palter,2.2,7.0,verbatim perceived HIGH (>=5),4.2
informed,truthy_falsehood,5.7,1.7,verbatim perceived LOW (<=3),2.2
informed,truthy_falsehood,5.0,2.0,verbatim perceived LOW (<=3),3.0
informed,truthy_falsehood,5.0,2.3,verbatim perceived LOW (<=3),1.5
informed,blatant_falsehood,1.0,1.0,verbatim perceived LOW (<=3),6.0
informed,blatant_falsehood,1.0,1.0,verbatim perceived LOW (<=3),6.0
informed,blatant_falsehood,1.0,1.0,verbatim perceived LOW (<=3),6.6
informed,fully_true,7.0,7.0,verbatim perceived HIGH (>=5),1.0
informed,fully_true,7.0,7.0,verbatim perceived HIGH (>=5),1.0
informed,fully_true,7.0,7.0,verbatim perceived HIGH (>=5),1.0
informed,palter,2.8,5.2,verbatim perceived HIGH (>=5),2.0
informed,palter,2.0,6.0,verbatim perceived HIGH (>=5),5.0
informed,palter,2.3,5.2,verbatim perceived HIGH (>=5),2.4
informed,truthy_falsehood,6.0,2.0,verbatim perceived LOW (<=3),3.2
informed,truthy_falsehood,5.0,2.0,verbatim perceived LOW (<=3),3.0
informed,truthy_falsehood,5.5,3.0,verbatim perceived LOW (<=3),1.0
informed,blatant_falsehood,1.0,1.0,verbatim perceived LOW (<=3),5.5
informed,blatant_falsehood,1.0,1.0,verbatim perceived LOW (<=3),6.0
informed,blatant_falsehood,1.0,1.0,verbatim perceived LOW (<=3),4.8
informed,fully_true,7.0,7.0,verbatim perceived HIGH (>=5),1.0
informed,fully_true,7.0,7.0,verbatim perceived HIGH (>=5),1.0
informed,fully_true,7.0,7.0,verbatim perceived HIGH (>=5),1.0
informed,palter,2.0,5.6,verbatim perceived HIGH (>=5),2.4
informed,palter,1.9,3.0,verbatim perceived LOW (<=3),3.8
informed,palter,2.0,3.6,mid,2.0
informed,truthy_falsehood,4.7,1.8,verbatim perceived LOW (<=3),2.8
informed,truthy_falsehood,4.5,2.0,verbatim perceived LOW (<=3),3.0
informed,truthy_falsehood,4.6,2.0,verbatim perceived LOW (<=3),1.4
informed,blatant_falsehood,1.0,1.0,verbatim perceived LOW (<=3),6.0
informed,blatant_falsehood,1.0,1.0,verbatim perceived LOW (<=3),5.9
informed,blatant_falsehood,1.0,1.0,verbatim perceived LOW (<=3),7.0
informed,fully_true,7.0,7.0,verbatim perceived HIGH (>=5),1.0
informed,fully_true,7.0,7.0,verbatim perceived HIGH (>=5),1.0
informed,fully_true,7.0,7.0,verbatim perceived HIGH (>=5),1.0
informed,palter,2.0,6.4,verbatim perceived HIGH (>=5),3.4
informed,palter,2.0,6.0,verbatim perceived HIGH (>=5),5.0
informed,palter,2.0,7.0,verbatim perceived HIGH (>=5),4.4
informed,truthy_falsehood,6.3,4.5,mid,1.0
informed,truthy_falsehood,6.5,4.4,mid,2.1
informed,truthy_falsehood,7.0,4.2,mid,1.0
informed,blatant_falsehood,1.0,1.0,verbatim perceived LOW (<=3),5.5
informed,blatant_falsehood,1.0,1.0,verbatim perceived LOW (<=3),6.0
informed,blatant_falsehood,1.0,1.0,verbatim perceived LOW (<=3),1.0
informed,fully_true,7.0,7.0,verbatim perceived HIGH (>=5),1.0
informed,fully_true,7.0,6.8,verbatim perceived HIGH (>=5),1.0
informed,fully_true,7.0,7.0,verbatim perceived HIGH (>=5),1.0
informed,palter,3.3,6.2,verbatim perceived HIGH (>=5),2.0
informed,palter,2.0,5.3,verbatim perceived HIGH (>=5),5.0
informed,palter,6.1,7.0,verbatim perceived HIGH (>=5),1.1
informed,truthy_falsehood,5.7,2.6,verbatim perceived LOW (<=3),1.9
informed,truthy_falsehood,5.0,2.0,verbatim perceived LOW (<=3),3.0
informed,truthy_falsehood,5.6,2.3,verbatim perceived LOW (<=3),1.3
informed,blatant_falsehood,1.0,1.0,verbatim perceived LOW (<=3),6.0
informed,blatant_falsehood,1.0,1.0,verbatim perceived LOW (<=3),6.0
informed,blatant_falsehood,1.0,1.0,verbatim perceived LOW (<=3),3.0
informed,fully_true,5.8,4.6,mid,1.9
informed,fully_true,5.8,6.0,verbatim perceived HIGH (>=5),2.2
informed,fully_true,7.0,7.0,verbatim perceived HIGH (>=5),1.0
informed,palter,2.3,6.0,verbatim perceived HIGH (>=5),2.3
informed,palter,2.0,6.0,verbatim perceived HIGH (>=5),4.1
informed,palter,2.0,7.0,verbatim perceived HIGH (>=5),1.0
informed,truthy_falsehood,2.2,1.0,verbatim perceived LOW (<=3),2.2
informed,truthy_falsehood,3.0,2.0,verbatim perceived LOW (<=3),3.0
informed,truthy_falsehood,4.4,2.1,verbatim perceived LOW (<=3),1.0
informed,blatant_falsehood,1.0,1.0,verbatim perceived LOW (<=3),4.3
informed,blatant_falsehood,1.0,1.0,verbatim perceived LOW (<=3),6.0
informed,blatant_falsehood,1.0,1.0,verbatim perceived LOW (<=3),1.0
informed,fully_true,7.0,7.0,verbatim perceived HIGH (>=5),1.0
informed,fully_true,7.0,7.0,verbatim perceived HIGH (>=5),1.0
informed,fully_true,7.0,7.0,verbatim perceived HIGH (>=5),1.0
informed,palter,2.9,6.1,verbatim perceived HIGH (>=5),3.3
informed,palter,2.0,6.0,verbatim perceived HIGH (>=5),4.9
informed,palter,2.7,7.0,verbatim perceived HIGH (>=5),2.1
informed,truthy_falsehood,5.1,1.2,verbatim perceived LOW (<=3),1.4
informed,truthy_falsehood,3.5,2.0,verbatim perceived LOW (<=3),3.0
informed,truthy_falsehood,2.1,1.6,verbatim perceived LOW (<=3),1.0
informed,blatant_falsehood,1.0,1.0,verbatim perceived LOW (<=3),3.0
informed,blatant_falsehood,1.0,1.0,verbatim perceived LOW (<=3),4.3
informed,blatant_falsehood,1.0,1.0,verbatim perceived LOW (<=3),1.0
informed,fully_true,7.0,7.0,verbatim perceived HIGH (>=5),1.0
informed,fully_true,7.0,7.0,verbatim perceived HIGH (>=5),1.0
informed,fully_true,7.0,7.0,verbatim perceived HIGH (>=5),1.0
informed,palter,2.0,5.9,verbatim perceived HIGH (>=5),4.4
informed,palter,2.0,6.0,verbatim perceived HIGH (>=5),5.0
informed,palter,2.0,6.9,verbatim perceived HIGH (>=5),5.0
informed,truthy_falsehood,6.1,2.0,verbatim perceived LOW (<=3),1.8
informed,truthy_falsehood,6.0,2.1,verbatim perceived LOW (<=3),2.6
informed,truthy_falsehood,7.0,2.6,verbatim perceived LOW (<=3),1.0
informed,blatant_falsehood,1.0,1.0,verbatim perceived LOW (<=3),6.9
informed,blatant_falsehood,1.0,1.0,verbatim perceived LOW (<=3),6.0
informed,blatant_falsehood,1.0,1.0,verbatim perceived LOW (<=3),6.8
informed,fully_true,7.0,6.0,verbatim perceived HIGH (>=5),1.0
informed,fully_true,6.9,6.0,verbatim perceived HIGH (>=5),1.0
informed,fully_true,7.0,7.0,verbatim perceived HIGH (>=5),1.0
informed,palter,6.1,7.0,verbatim perceived HIGH (>=5),1.0
informed,palter,4.1,6.0,verbatim perceived HIGH (>=5),2.8
informed,palter,7.0,7.0,verbatim perceived HIGH (>=5),1.0
informed,truthy_falsehood,3.1,1.7,verbatim perceived LOW (<=3),2.0
informed,truthy_falsehood,3.5,2.9,verbatim perceived LOW (<=3),3.0
informed,truthy_falsehood,2.7,2.0,verbatim perceived LOW (<=3),1.0
informed,blatant_falsehood,1.0,1.0,verbatim perceived LOW (<=3),6.2
informed,blatant_falsehood,1.0,1.0,verbatim perceived LOW (<=3),6.1
informed,blatant_falsehood,1.0,1.0,verbatim perceived LOW (<=3),7.0
informed,fully_true,7.0,7.0,verbatim perceived HIGH (>=5),1.0
informed,fully_true,7.0,7.0,verbatim perceived HIGH (>=5),1.0
informed,fully_true,7.0,7.0,verbatim perceived HIGH (>=5),1.0
informed,palter,2.5,7.0,verbatim perceived HIGH (>=5),4.5
informed,palter,2.0,6.1,verbatim perceived HIGH (>=5),5.1
informed,palter,2.7,7.0,verbatim perceived HIGH (>=5),5.1
informed,truthy_falsehood,6.8,2.9,verbatim perceived LOW (<=3),1.9
informed,truthy_falsehood,6.0,3.0,verbatim perceived LOW (<=3),2.2
informed,truthy_falsehood,7.0,4.3,mid,1.0
informed,blatant_falsehood,1.0,1.0,verbatim perceived LOW (<=3),7.0
informed,blatant_falsehood,1.0,1.0,verbatim perceived LOW (<=3),7.0
informed,blatant_falsehood,1.0,1.0,verbatim perceived LOW (<=3),7.0
informed,fully_true,7.0,7.0,verbatim perceived HIGH (>=5),1.0
informed,fully_true,7.0,7.0,verbatim perceived HIGH (>=5),1.0
informed,fully_true,7.0,7.0,verbatim perceived HIGH (>=5),1.0
informed,palter,3.0,6.2,verbatim perceived HIGH (>=5),3.6
informed,palter,2.0,5.7,verbatim perceived HIGH (>=5),5.0
informed,palter,2.5,7.0,verbatim perceived HIGH (>=5),5.0
informed,truthy_falsehood,5.8,2.1,verbatim perceived LOW (<=3),1.3
informed,truthy_falsehood,5.1,2.5,verbatim perceived LOW (<=3),2.6
informed,truthy_falsehood,6.4,3.4,mid,1.0
informed,blatant_falsehood,1.0,1.0,verbatim perceived LOW (<=3),7.0
informed,blatant_falsehood,1.0,1.0,verbatim perceived LOW (<=3),6.0
informed,blatant_falsehood,1.0,1.0,verbatim perceived LOW (<=3),7.0
informed,fully_true,7.0,7.0,verbatim perceived HIGH (>=5),1.0
informed,fully_true,7.0,6.0,verbatim perceived HIGH (>=5),1.0
informed,fully_true,7.0,6.7,verbatim perceived HIGH (>=5),1.0
informed,palter,3.0,7.0,verbatim perceived HIGH (>=5),1.9
informed,palter,3.0,6.1,verbatim perceived HIGH (>=5),3.2
informed,palter,2.0,6.0,verbatim perceived HIGH (>=5),4.9
informed,truthy_falsehood,6.4,1.0,verbatim perceived LOW (<=3),1.0
informed,truthy_falsehood,4.9,1.0,verbatim perceived LOW (<=3),2.9
informed,truthy_falsehood,3.5,1.0,verbatim perceived LOW (<=3),3.6
informed,blatant_falsehood,1.0,1.0,verbatim perceived LOW (<=3),5.7
informed,blatant_falsehood,1.0,1.0,verbatim perceived LOW (<=3),6.0
informed,blatant_falsehood,1.0,1.0,verbatim perceived LOW (<=3),6.0
informed,fully_true,7.0,7.0,verbatim perceived HIGH (>=5),1.0
informed,fully_true,7.0,7.0,verbatim perceived HIGH (>=5),1.0
informed,fully_true,7.0,7.0,verbatim perceived HIGH (>=5),1.0
informed,palter,2.3,7.0,verbatim perceived HIGH (>=5),4.7
informed,palter,2.5,7.0,verbatim perceived HIGH (>=5),4.7
informed,palter,2.0,7.0,verbatim perceived HIGH (>=5),5.4
informed,truthy_falsehood,2.5,1.0,verbatim perceived LOW (<=3),1.1
informed,truthy_falsehood,5.0,1.0,verbatim perceived LOW (<=3),3.7
informed,truthy_falsehood,4.8,1.0,verbatim perceived LOW (<=3),4.0
informed,blatant_falsehood,1.0,1.0,verbatim perceived LOW (<=3),7.0
informed,blatant_falsehood,1.0,1.0,verbatim perceived LOW (<=3),6.2
informed,blatant_falsehood,1.0,1.0,verbatim perceived LOW (<=3),7.0
informed,fully_true,7.0,7.0,verbatim perceived HIGH (>=5),1.0
informed,fully_true,7.0,6.5,verbatim perceived HIGH (>=5),1.0
informed,fully_true,7.0,7.0,verbatim perceived HIGH (>=5),1.0
informed,palter,3.2,7.0,verbatim perceived HIGH (>=5),3.0
informed,palter,3.7,6.1,verbatim perceived HIGH (>=5),3.8
informed,palter,2.1,6.0,verbatim perceived HIGH (>=5),5.0
informed,truthy_falsehood,5.2,3.0,verbatim perceived LOW (<=3),1.0
informed,truthy_falsehood,4.8,2.2,verbatim perceived LOW (<=3),1.6
informed,truthy_falsehood,5.6,3.0,verbatim perceived LOW (<=3),2.6
informed,blatant_falsehood,1.0,1.0,verbatim perceived LOW (<=3),7.0
informed,blatant_falsehood,1.0,1.0,verbatim perceived LOW (<=3),7.0
informed,blatant_falsehood,1.0,1.0,verbatim perceived LOW (<=3),6.7
informed,fully_true,7.0,7.0,verbatim perceived HIGH (>=5),1.0
informed,fully_true,7.0,7.0,verbatim perceived HIGH (>=5),1.0
informed,fully_true,7.0,6.2,verbatim perceived HIGH (>=5),1.0
informed,palter,3.1,6.3,verbatim perceived HIGH (>=5),2.6
informed,palter,3.0,5.4,verbatim perceived HIGH (>=5),2.8
informed,palter,2.0,5.4,verbatim perceived HIGH (>=5),5.0
informed,truthy_falsehood,5.4,2.0,verbatim perceived LOW (<=3),1.0
informed,truthy_falsehood,5.4,2.1,verbatim perceived LOW (<=3),1.1
informed,truthy_falsehood,5.4,2.0,verbatim perceived LOW (<=3),2.7
informed,blatant_falsehood,1.0,1.0,verbatim perceived LOW (<=3),6.0
informed,blatant_falsehood,1.0,1.0,verbatim perceived LOW (<=3),5.6
informed,blatant_falsehood,1.0,1.0,verbatim perceived LOW (<=3),6.0
informed,fully_true,7.0,7.0,verbatim perceived HIGH (>=5),1.0
informed,fully_true,7.0,7.0,verbatim perceived HIGH (>=5),1.0
informed,fully_true,7.0,7.0,verbatim perceived HIGH (>=5),1.0
informed,palter,2.5,7.0,verbatim perceived HIGH (>=5),4.5
informed,palter,3.3,6.0,verbatim perceived HIGH (>=5),3.6
informed,palter,2.1,6.0,verbatim perceived HIGH (>=5),5.3
informed,truthy_falsehood,7.0,2.7,verbatim perceived LOW (<=3),1.0
informed,truthy_falsehood,7.0,2.6,verbatim perceived LOW (<=3),1.9
informed,truthy_falsehood,6.0,1.8,verbatim perceived LOW (<=3),4.0
informed,blatant_falsehood,1.0,1.0,verbatim perceived LOW (<=3),6.4
informed,blatant_falsehood,1.0,1.0,verbatim perceived LOW (<=3),6.0
informed,blatant_falsehood,1.0,1.0,verbatim perceived LOW (<=3),6.0
informed,fully_true,7.0,7.0,verbatim perceived HIGH (>=5),1.0
informed,fully_true,7.0,7.0,verbatim perceived HIGH (>=5),1.0
informed,fully_true,7.0,7.0,verbatim perceived HIGH (>=5),1.0
informed,palter,2.6,3.3,mid,5.3
informed,palter,2.0,4.2,mid,5.6
informed,palter,2.0,3.3,mid,5.3
informed,truthy_falsehood,1.4,1.0,verbatim perceived LOW (<=3),1.2
informed,truthy_falsehood,4.4,1.1,verbatim perceived LOW (<=3),2.4
informed,truthy_falsehood,4.3,1.0,verbatim perceived LOW (<=3),3.0
informed,blatant_falsehood,1.0,1.0,verbatim perceived LOW (<=3),7.0
informed,blatant_falsehood,1.0,1.0,verbatim perceived LOW (<=3),7.0
informed,blatant_falsehood,1.0,1.0,verbatim perceived LOW (<=3),6.0
informed,fully_true,7.0,7.0,verbatim perceived HIGH (>=5),1.0
informed,fully_true,7.0,7.0,verbatim perceived HIGH (>=5),1.0
informed,fully_true,7.0,7.0,verbatim perceived HIGH (>=5),1.0
informed,palter,2.7,7.0,verbatim perceived HIGH (>=5),4.5
informed,palter,3.5,7.0,verbatim perceived HIGH (>=5),2.6
informed,palter,2.0,6.0,verbatim perceived HIGH (>=5),5.0
informed,truthy_falsehood,2.2,1.8,verbatim perceived LOW (<=3),1.3
informed,truthy_falsehood,4.4,1.2,verbatim perceived LOW (<=3),3.2
informed,truthy_falsehood,4.5,1.3,verbatim perceived LOW (<=3),3.0
informed,blatant_falsehood,1.0,1.0,verbatim perceived LOW (<=3),6.8
informed,blatant_falsehood,1.0,1.0,verbatim perceived LOW (<=3),6.0
informed,blatant_falsehood,1.0,1.0,verbatim perceived LOW (<=3),6.0
informed,fully_true,7.0,7.0,verbatim perceived HIGH (>=5),1.0
informed,fully_true,7.0,7.0,verbatim perceived HIGH (>=5),1.0
informed,fully_true,7.0,7.0,verbatim perceived HIGH (>=5),1.0
informed,palter,1.0,2.8,verbatim perceived LOW (<=3),5.6
informed,palter,1.0,2.2,verbatim perceived LOW (<=3),5.0
informed,palter,2.0,4.8,mid,5.0
informed,truthy_falsehood,3.1,2.0,verbatim perceived LOW (<=3),1.5
informed,truthy_falsehood,5.1,2.0,verbatim perceived LOW (<=3),2.1
informed,truthy_falsehood,6.0,3.6,mid,2.3
informed,blatant_falsehood,1.0,1.0,verbatim perceived LOW (<=3),6.7
informed,blatant_falsehood,1.0,1.0,verbatim perceived LOW (<=3),6.0
informed,blatant_falsehood,1.0,1.0,verbatim perceived LOW (<=3),6.0
